id,title,brand,gtin,mpn,price,availability,condition,google_product_category,product_type,link,image_link,custom_label_0,custom_label_1,custom_label_2
SKU-1011,Morphy Richards Evoke 4 Slice Toaster Pebble Cream Stainless Steel with Variable Browning,Morphy Richards,5012345600117,MR-EV4,49.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Toasters,https://example-homestore.co.uk/p/SKU-1011,https://example-homestore.co.uk/img/SKU-1011.jpg,core-range,electricals,high-margin
SKU-1012,Beldray 5 Tier Heated Clothes Airer Indoor Electric Drying Rack 300W with Protective Cover,Beldray,5012345600124,BD-HA5T,54.99 GBP,in_stock,new,Home & Garden > Household Supplies > Laundry Supplies,Laundry > Airers,https://example-homestore.co.uk/p/SKU-1012,https://example-homestore.co.uk/img/SKU-1012.jpg,seasonal,electricals,high-margin
SKU-1013,OXO Good Grips POP Container Big Square Medium 4.2 Litre Airtight Dry Food Storage Container,OXO,5012345600131,OXO-POPBS,16.00 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Food Storage,Kitchen > Containers,https://example-homestore.co.uk/p/SKU-1013,https://example-homestore.co.uk/img/SKU-1013.jpg,core-range,premium,high-margin
SKU-1014,Crystal Clear Plastic Storage Box 24 Litre with Clip Lid by Wham Stackable Home,Wham,5012345600148,WH-CB24B,12.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1014,https://example-homestore.co.uk/img/SKU-1014.jpg,core-range,mid-margin,
SKU-1015,Stainless Steel Pedal Bin 30 Litre Soft Close Brabantia Kitchen Waste Bin,Brabantia,5012345600155,BR-PB30,69.99 GBP,in_stock,new,Home & Garden > Household Supplies > Waste Containers,Kitchen > Bins,https://example-homestore.co.uk/p/SKU-1015,https://example-homestore.co.uk/img/SKU-1015.jpg,core-range,mid-margin,
SKU-1016,Electric Kettle 1.7 Litre Stainless Steel by Russell Hobbs Rapid Boil,Russell Hobbs,5012345600162,RH-EK17,24.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Kettles,https://example-homestore.co.uk/p/SKU-1016,https://example-homestore.co.uk/img/SKU-1016.jpg,electricals,mid-margin,
SKU-1017,Tower Air Fryer 4 Litre Black,Tower,5012345600179,TW-AF4,59.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Air Fryers,https://example-homestore.co.uk/p/SKU-1017,https://example-homestore.co.uk/img/SKU-1017.jpg,electricals,,
SKU-1018,Joseph Joseph Index Chopping Board Set,Joseph Joseph,5012345600186,JJ-IDX,30.00 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Tools,Kitchen > Boards,https://example-homestore.co.uk/p/SKU-1018,https://example-homestore.co.uk/img/SKU-1018.jpg,core-range,,
SKU-1019,Curver Infinity Storage Basket White,Curver,5012345600193,CV-INF,7.49 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Baskets,https://example-homestore.co.uk/p/SKU-1019,https://example-homestore.co.uk/img/SKU-1019.jpg,mid-margin,,
SKU-1020,Ninja Foodi Dual Zone Air Fryer 9.5 Litre Black,Ninja,5012345600209,NJ-DZ95,179.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Air Fryers,https://example-homestore.co.uk/p/SKU-1020,https://example-homestore.co.uk/img/SKU-1020.jpg,bestseller,electricals,
SKU-1021,Dunelm Pure Cotton Bath Towel Grey,Dunelm,5012345600216,DN-BT01,8.00 GBP,in_stock,new,Home & Garden > Linens & Bedding > Towels,Bathroom > Towels,https://example-homestore.co.uk/p/SKU-1021,https://example-homestore.co.uk/img/SKU-1021.jpg,core-range,,
SKU-1022,Aluminium Folding Step Ladder 4 Step Anti Slip Lightweight Portable Compact,,5012345600223,GEN-SL4,32.99 GBP,in_stock,new,Hardware > Tools > Ladders,Tools > Ladders,https://example-homestore.co.uk/p/SKU-1022,https://example-homestore.co.uk/img/SKU-1022.jpg,mid-margin,,
SKU-1023,Garden Hose Pipe 30m Expandable with Spray Gun Lightweight Anti Kink Design,,5012345600230,GEN-GH30,21.99 GBP,in_stock,new,Home & Garden > Lawn & Garden > Watering,Garden > Hoses,https://example-homestore.co.uk/p/SKU-1023,https://example-homestore.co.uk/img/SKU-1023.jpg,seasonal,,
SKU-1024,Memory Foam Mattress Topper Double Bed 5cm Deep Soft Comfortable Hypoallergenic,,5012345600247,GEN-MT5D,44.99 GBP,in_stock,new,Home & Garden > Linens & Bedding > Mattresses,Bedroom > Toppers,https://example-homestore.co.uk/p/SKU-1024,https://example-homestore.co.uk/img/SKU-1024.jpg,high-margin,,
SKU-1025,LED Desk Lamp Dimmable USB Rechargeable Touch Control Office Reading Light Adjustable,,5012345600254,GEN-DL01,18.99 GBP,in_stock,new,Home & Garden > Lighting > Lamps,Lighting > Desk Lamps,https://example-homestore.co.uk/p/SKU-1025,https://example-homestore.co.uk/img/SKU-1025.jpg,mid-margin,,
SKU-1026,Bamboo Kitchen Roll Holder Free Standing Natural Wood Countertop Organiser,,5012345600261,GEN-KRH,11.49 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Tools,Kitchen > Organisers,https://example-homestore.co.uk/p/SKU-1026,https://example-homestore.co.uk/img/SKU-1026.jpg,mid-margin,,
SKU-1027,BOX,,,GEN-BX,2.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1027,https://example-homestore.co.uk/img/SKU-1027.jpg,,,
SKU-1028,Storage Box,,0,GEN-SB,3.49 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1028,https://example-homestore.co.uk/img/SKU-1028.jpg,,,
SKU-1029,CHEAP STORAGE BOXES SALE NOW BUY ONLINE BEST PRICE FREE DELIVERY LIMITED OFFER,,N/A,GEN-CSB,3.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1029,https://example-homestore.co.uk/img/SKU-1029.jpg,,,
SKU-1030,Plastic Storage Box Box Plastic Container with Lid Lid for the Home Use,,,GEN-PSB,4.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1030,https://example-homestore.co.uk/img/SKU-1030.jpg,,,
SKU-1031,BEST KETTLE EVER Buy Now Huge Sale Limited Stock Clearance Special Today,,N/A,GEN-KET,14.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Kettles,https://example-homestore.co.uk/p/SKU-1031,https://example-homestore.co.uk/img/SKU-1031.jpg,,,
SKU-1032,Storage Box 24 Litre Clip Lid Stackable,,0,GEN-SB24,5.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1032,https://example-homestore.co.uk/img/SKU-1032.jpg,,,
SKU-1033,Premium Quality Storage Box Best Value For Money Cheap Price Great Deal,,,GEN-PQB,6.49 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1033,https://example-homestore.co.uk/img/SKU-1033.jpg,,,
SKU-1034,New New Amazing Toaster Hot Deal Limited Stock Clearance Offer Today Only,,N/A,GEN-TST,17.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Toasters,https://example-homestore.co.uk/p/SKU-1034,https://example-homestore.co.uk/img/SKU-1034.jpg,,,
SKU-1035,kettle,,,GEN-K,9.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Kitchen Appliances,Appliances > Kettles,https://example-homestore.co.uk/p/SKU-1035,https://example-homestore.co.uk/img/SKU-1035.jpg,,,
SKU-1036,Super Long Title That Goes On And On Describing Every Possible Feature Of This Plastic Storage Box Including The Material The Colour The Capacity The Stackability The Lid Type And Much More Detail Than Any Shopper Could Ever Want,,5012345600360,GEN-LONG,7.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1036,https://example-homestore.co.uk/img/SKU-1036.jpg,,,
SKU-1037,Mop and Bucket Set,,0,GEN-MOP,12.99 GBP,in_stock,new,Home & Garden > Household Supplies > Cleaning,Cleaning > Mops,https://example-homestore.co.uk/p/SKU-1037,https://example-homestore.co.uk/img/SKU-1037.jpg,,,
SKU-1038,Towel,,,GEN-TWL,4.00 GBP,in_stock,new,Home & Garden > Linens & Bedding > Towels,Bathroom > Towels,https://example-homestore.co.uk/p/SKU-1038,https://example-homestore.co.uk/img/SKU-1038.jpg,,,
SKU-1039,Cushion Cover Decorative,,N/A,GEN-CC,5.99 GBP,in_stock,new,Home & Garden > Decor > Cushions,Decor > Cushions,https://example-homestore.co.uk/p/SKU-1039,https://example-homestore.co.uk/img/SKU-1039.jpg,,,
SKU-1040,Vileda Spray Mop,Vileda,5012345600407,VL-SM,19.99 GBP,in_stock,new,Home & Garden > Household Supplies > Cleaning,Cleaning > Mops,https://example-homestore.co.uk/p/SKU-1040,https://example-homestore.co.uk/img/SKU-1040.jpg,electricals,,
SKU-1041,Glass,,,GEN-GLS,1.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Glassware,Kitchen > Glasses,https://example-homestore.co.uk/p/SKU-1041,https://example-homestore.co.uk/img/SKU-1041.jpg,,,
SKU-1042,Container Container Storage Storage Box,,0,GEN-CON,3.29 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Food Storage,Kitchen > Containers,https://example-homestore.co.uk/p/SKU-1042,https://example-homestore.co.uk/img/SKU-1042.jpg,,,
SKU-1043,Black Plastic Box >>> Clearance >>> Must Go >>> Buy,,N/A,GEN-BPB,2.49 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1043,https://example-homestore.co.uk/img/SKU-1043.jpg,,,
SKU-1044,DRILL,,,GEN-DRL,29.99 GBP,in_stock,new,Hardware > Tools > Power Tools,Tools > Drills,https://example-homestore.co.uk/p/SKU-1044,https://example-homestore.co.uk/img/SKU-1044.jpg,,,
SKU-1045,Power Tool Kit,,0,GEN-PTK,49.99 GBP,in_stock,new,Hardware > Tools > Power Tools,Tools > Kits,https://example-homestore.co.uk/p/SKU-1045,https://example-homestore.co.uk/img/SKU-1045.jpg,,,
SKU-1046,Frying Pan Non Stick Coating Black,,N/A,GEN-FP,11.99 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Cookware,Kitchen > Pans,https://example-homestore.co.uk/p/SKU-1046,https://example-homestore.co.uk/img/SKU-1046.jpg,,,
SKU-1047,Tefal,Tefal,,TF-GEN,0.00 GBP,in_stock,new,Home & Garden > Kitchen & Dining > Cookware,Kitchen > Pans,https://example-homestore.co.uk/p/SKU-1047,https://example-homestore.co.uk/img/SKU-1047.jpg,,,
SKU-1048,Plastic Box CLEARANCE SALE Limited Time Only Best Price Guaranteed,,N/A,GEN-PBC,3.99 GBP,in_stock,new,Home & Garden > Household Supplies > Storage,Storage > Boxes,https://example-homestore.co.uk/p/SKU-1048,https://example-homestore.co.uk/img/SKU-1048.jpg,,,
SKU-1049,duvet cover set double size grey,,0,GEN-DCS,16.99 GBP,in_stock,new,Home & Garden > Linens & Bedding > Bedding,Bedroom > Bedding,https://example-homestore.co.uk/p/SKU-1049,https://example-homestore.co.uk/img/SKU-1049.jpg,,,
SKU-1050,HDMI Cable High Speed,,5012345600506,GEN-HDMI,6.99 GBP,in_stock,new,Electronics > Cables > AV Cables,Electronics > Cables,https://example-homestore.co.uk/p/SKU-1050,https://example-homestore.co.uk/img/SKU-1050.jpg,electricals,,
